event_id,state,income_group,onset_year,monsoon_flag,n_articles_0_14,MSS_entropy,MSS,PSS,population_exposed,affected_area_km2,total_deaths,deaths_missing,severity_proxy,observed,expected,log_ratio,pearson_resid,deviance_resid,under_flag,over_flag,severity_tier,rank_undercovered
E127,Sikkim,Low,2025,0,2.0,0.0169,0.125,0.4666,918.0,9.27,50.0,0,population_exposed,2.0,1615.5914110727313,-6.471475071864953,-0.9984531055883301,-3.6257156261941685,True,False,low,1
E18,Arunachal Pradesh,Low,2015,1,33.0,0.0468,0.2295,0.1701,22.0,1.14,25.0,0,population_exposed,33.0,1214.3796859399272,-3.590854888122681,-0.972425335336469,-2.513710893264354,True,False,low,2
E104,Meghalaya,Low,2024,0,81.0,0.056,0.2668,0.2747,216.0,1.42,15.0,0,population_exposed,81.0,1601.4906465159195,-2.978399268735179,-0.9491258415778323,-2.213511883783467,True,False,low,3
E28,Assam,Low,2021,1,120.0,0.0614,0.2839,0.7824,30371.0,65.28,0.0,1,population_exposed,120.0,2175.4043782109875,-2.8935499102427027,-0.9446207531265282,-2.169433039780533,True,False,low,4
E19,Arunachal Pradesh,Low,2016,0,435.0,0.073,0.3383,0.3434,112.0,5.91,18.0,0,population_exposed,435.0,6229.4583102788165,-2.660630123697501,-0.9300958433991912,-2.044550021057744,True,False,low,5
E105,Meghalaya,Low,2025,0,109.0,0.0575,0.2787,0.3958,675.0,4.43,50.0,0,population_exposed,109.0,1538.050079672871,-2.642671195949361,-0.9288291450608777,-2.034303738379028,True,False,low,6
E103,Meghalaya,Low,2024,0,170.0,0.1143,0.3184,0.3038,291.0,1.91,48.0,0,population_exposed,170.0,2001.9639140966501,-2.4633983616304307,-0.9148549236310024,-1.9338551783112308,True,False,low,7
E159,Uttarakhand,Low,2023,0,327.0,0.072,0.3267,0.6897,9057.0,40.66,0.0,1,population_exposed,327.0,3273.4875263108256,-2.302275892925127,-0.8999690857074085,-1.8404130615056304,True,False,low,8
E106,Mizoram,Low,2025,0,124.0,0.0566,0.2832,0.2719,122.0,2.04,50.0,0,population_exposed,124.0,1170.6888408038665,-2.24146889925473,-0.8936978390855193,-1.8039926830183897,True,False,low,9
E136,Tripura,Low,2018,0,360.0,0.0728,0.3308,0.3826,1110.0,2.75,15.0,0,population_exposed,360.0,2870.206450410706,-2.074821471707617,-0.8744211683945426,-1.702773002137054,True,False,low,10
E102,Meghalaya,Low,2022,0,340.0,0.167,0.3664,0.2838,238.0,1.56,2035.0,0,population_exposed,340.0,2683.8640823299247,-2.06478401245671,-0.8731543304493979,-1.6965311744985672,True,False,low,11
E10,Odisha,Low,2022,1,173.0,0.0738,0.3028,0.5396,3459.0,11.47,0.0,1,population_exposed,173.0,1245.646037464115,-1.9716332981198914,-0.8607708017835738,-1.6378619003880324,True,False,low,12
E69,Jharkhand,Low,2017,1,536.0,0.0772,0.3482,0.4344,2044.0,4.01,6.0,0,population_exposed,536.0,3728.8702143352716,-1.9389280929697161,-0.8561419380565044,-1.6172472214301314,True,False,low,13
E135,Telangana,High,2023,1,1002.0,0.0904,0.3787,0.8306,35591.0,103.61,23.0,0,population_exposed,1002.0,6711.273722959601,-1.9013663760857091,-0.850635610564697,-1.5931759325062422,True,False,low,14
E70,Jharkhand,Low,2021,1,951.0,0.2635,0.4461,0.6557,12247.0,24.03,1282.0,0,population_exposed,951.0,5783.118065389581,-1.8047450419673499,-0.8354836071149186,-1.5301602041969606,True,False,low,15
E22,Arunachal Pradesh,Low,2025,0,155.0,0.0562,0.2916,0.1968,29.0,1.54,50.0,0,population_exposed,155.0,933.8879151231101,-1.7932459470695719,-0.8335810149415399,-1.52225980690399,True,False,low,16
